ind_id	tissue	score	n_genes_with_expr	contrast	tissue_shuffled
C0007115	Lung	4.221757817628866	376	0.7941008557488529	Brain - Caudate (basal ganglia)
C0018022	Thyroid	7.612485220448663	4	2.94705726050102	Colon - Sigmoid
C0027145	Thyroid	3.978590440498405	2	3.7711042874085496	Small Intestine - Terminal Ileum
C0010308	Thyroid	4.424504981345309	38	2.374613998326042	Adipose - Visceral (Omentum)
C0018021	Thyroid	4.575852261663627	75	1.4087347687717942	Ovary
C0020676	Thyroid	3.5803059315438874	186	0.7246393395985375	Colon - Transverse
C0036262	Pancreas	5.8443666217036	2	5.598651340420606	Muscle - Skeletal
C0033774	Skin - Sun Exposed (Lower leg)	2.7055062326196984	55	0.7392582177749181	Liver
C0152030	Cells - EBV-transformed lymphocytes	4.098849618309291	2	0.979581108905144	Cervix - Ectocervix
C0019112	Skin - Sun Exposed (Lower leg)	4.398780953418201	7	2.598765427154073	Brain - Nucleus accumbens (basal ganglia)
C0041976	Ovary	6.240131534694804	4	1.298492088154246	Kidney - Cortex
C0027796	Nerve - Tibial	3.303738833036802	76	0.8094228905684124	Brain - Amygdala
C0033038	Brain - Hypothalamus	3.1309880088729125	5	2.0632992846802685	Heart - Atrial Appendage
C0149911	Prostate	2.63569842210863	13	0.9859000914356062	Artery - Tibial
C0029401	Cells - Cultured fibroblasts	4.317402199373654	34	0.8867530161315753	Liver
C0037383	Whole Blood	4.888879598441825	1	2.975160184329912	Kidney - Cortex
C0042109	Lung	4.431502476456682	76	1.2874289695445396	Artery - Coronary
C0035460	Testis	0.13209193669258706	1	0.12915849158606968	Ovary
C0600142	Liver	3.5760357825663704	23	1.2705938545236997	Cells - EBV-transformed lymphocytes
C0007137	Vagina	3.927021864597232	1665	0.7353731388347233	Pituitary
C0007847	Lung	4.115563802101251	731	0.7335627322556446	Adrenal Gland
C0024301	Spleen	3.942992142945198	346	0.9102844616625618	Brain - Caudate (basal ganglia)
C0080032	Lung	3.7319888750895256	68	0.945059052339071	Colon - Transverse
C0278996	Lung	4.189452037510552	367	0.8262401422340226	Brain - Cerebellar Hemisphere
C1336708	Vagina	3.6023197579078308	78	0.7130535957739275	Brain - Putamen (basal ganglia)
C0153601	Nerve - Tibial	4.599573738779397	22	1.0333032327412126	Liver
C0023434	Spleen	3.922193856489567	1020	0.92588202844646	Brain - Amygdala
C2215257	Liver	4.151085166131075	3	2.213536531665947	Lung
C0011991	Lung	3.3689402503098256	182	0.7574874090129367	Artery - Tibial
C0524909	Lung	3.80495966299961	221	1.03115320002978	Brain - Caudate (basal ganglia)
C0025323	Thyroid	6.023399525873634	1	3.180321703523815	Heart - Atrial Appendage
C0281361	Lung	4.092044003496329	267	0.8628889824711354	Pituitary
C0278498	Lung	4.632941347589703	25	1.1450157777955154	Brain - Caudate (basal ganglia)
C0242379	Lung	3.96210605687674	2113	0.7020227728214885	Brain - Nucleus accumbens (basal ganglia)
C0023473	Lung	4.101633870364689	733	0.8859376658635214	Testis
C0025202	Lung	3.9395589485535485	2100	0.6974988668815327	Whole Blood
C0023449	Lung	3.950640083828748	723	0.7836641029923692	Heart - Atrial Appendage
C0917798	Lung	4.273567966024766	172	0.7749948493446137	Cervix - Endocervix
C0015967	Lung	3.2199361741598356	44	1.0763027142796315	Brain - Spinal cord (cervical c-1)
C0040460	Spleen	6.931671239391475	1	4.290900669532798	Kidney - Cortex
C0007131	Lung	4.0347668326337045	1619	0.7271124907346858	Heart - Atrial Appendage
C1960925	Nerve - Tibial	7.034864975711357	1	2.4329560696276324	Brain - Hypothalamus
C0242429	Cells - EBV-transformed lymphocytes	3.9345455216696408	7	1.57646314419812	Adipose - Visceral (Omentum)
C0276088	Spleen	5.054183307424843	2	1.9187243648271441	Brain - Anterior cingulate cortex (BA24)
C0949083	Cells - EBV-transformed lymphocytes	4.126972053618147	7	0.9789022452463318	Uterus
C0014836	Spleen	3.281932315874853	22	1.0990848866141851	Cells - EBV-transformed lymphocytes
C0152964	Whole Blood	5.851344689092279	3	4.228757700833939	Colon - Transverse
C0242172	Lung	5.2697764026883345	28	1.7553559531671845	Colon - Sigmoid
C0003615	Lung	4.203377873765274	16	1.5418603617830624	Pituitary
C0392618	Whole Blood	4.03980147917906	5	2.6461263714805883	Artery - Aorta
C0744130	Brain - Frontal Cortex (BA9)	5.581730853812433	1	2.2057783187646103	Artery - Coronary
C1263758	Adipose - Subcutaneous	7.562303489385455	1	2.0179251753797987	Brain - Hippocampus
C0338908	Brain - Hypothalamus	2.706916898552726	29	0.6133246765776663	Colon - Transverse
C0345904	Lung	4.1559937777970255	490	0.7058106884608959	Lung
C0039520	Cells - EBV-transformed lymphocytes	10.123254712072017	3	3.7057389223039605	Colon - Transverse
C0006444	Adipose - Visceral (Omentum)	7.786806871014971	4	2.0022078385739563	Cervix - Ectocervix
C0038013	Lung	3.9962394811989967	224	1.1295616029585513	Thyroid
C0013274	Uterus	4.277094606953961	32	1.139248060132093	Brain - Anterior cingulate cortex (BA24)
C0039103	Lung	4.167781570374127	98	1.2044043165632834	Fallopian Tube
C0039503	Cells - EBV-transformed lymphocytes	5.036379851224653	2	1.3474161437649692	Esophagus - Muscularis
C0018099	Kidney - Medulla	2.971263849300171	42	0.715313725380343	Colon - Sigmoid
C0035435	Lung	4.424759978694901	98	1.183330244081974	Prostate
C0024117	Lung	3.8560434412749984	745	0.8881644043608818	Brain - Hippocampus
C0029104	Testis	1.351161962979292	2	1.148385267805049	Uterus
C0005587	Brain - Cerebellar Hemisphere	3.1685217866258544	15	1.125021612328061	Brain - Putamen (basal ganglia)
C0014869	Lung	3.452721391784035	43	1.0522749220904215	Esophagus - Muscularis
C0038358	Lung	3.7384082932065583	101	1.0501342608504078	Esophagus - Mucosa
C0013295	Lung	4.188283303560583	78	1.433526688872043	Skin - Sun Exposed (Lower leg)
C0041318	Lung	3.7152723538676766	22	1.3400668406892469	Cervix - Ectocervix
C0018621	Lung	3.791936165242031	102	1.1982485795734683	Brain - Hypothalamus
C0578870	Pituitary	2.6827937348680893	11	0.6008775239633062	Adipose - Visceral (Omentum)
C0002963	Adipose - Subcutaneous	4.2198556047303635	15	1.8508175835139342	Brain - Substantia nigra
C1739363	Prostate	4.821444834144865	19	1.374679601404786	Skin - Not Sun Exposed (Suprapubic)
C0268490	Liver	6.415350856584536	7	3.4482675010069954	Adipose - Subcutaneous
C0002170	Vagina	3.8997097135337304	16	1.2174193183831248	Stomach
C0476089	Lung	3.9037926779859515	635	0.6947359841902347	Esophagus - Muscularis
C0023467	Lung	4.089136842150684	1480	0.7837784622883066	Brain - Amygdala
C0032797	Liver	7.183457738217697	2	6.570577117348755	Brain - Nucleus accumbens (basal ganglia)
